Get a client by email,2020-05-28 16:42:00.631,http-nio-8080-exec-5
Login a client,2020-05-28 16:42:06.315,http-nio-8080-exec-7
Get a client by email,2020-05-28 16:42:06.315,http-nio-8080-exec-7
Get a client by email,2020-05-28 16:42:06.353,http-nio-8080-exec-9
Change client's password,2020-05-28 16:42:56.257,http-nio-8080-exec-4
Get a client by email,2020-05-28 16:42:56.258,http-nio-8080-exec-4
Login a client,2020-05-28 16:43:43.154,http-nio-8080-exec-8
Get a client by email,2020-05-28 16:43:43.154,http-nio-8080-exec-8
Login a client,2020-05-28 16:43:49.854,http-nio-8080-exec-9
Get a client by email,2020-05-28 16:43:49.855,http-nio-8080-exec-9
Get a client by email,2020-05-28 16:43:49.907,http-nio-8080-exec-1
Get a client by email,2020-05-28 23:48:16.799,http-nio-8080-exec-3
Register a new client,2020-05-28 23:48:33.124,http-nio-8080-exec-9
Get a client by email,2020-05-28 23:48:33.124,http-nio-8080-exec-9
Add a new client,2020-05-28 23:48:33.127,Add Client Thread
Get all events,2020-05-28 23:58:12.963,http-nio-8080-exec-7
Get a show by id,2020-05-28 23:58:13.014,http-nio-8080-exec-7
Get a room by id,2020-05-28 23:58:13.054,http-nio-8080-exec-7
Get a show by id,2020-05-28 23:58:13.088,http-nio-8080-exec-7
Get a show by id,2020-05-28 23:58:13.094,http-nio-8080-exec-7
Get a room by id,2020-05-28 23:58:13.101,http-nio-8080-exec-7
Get a show by id,2020-05-28 23:58:13.107,http-nio-8080-exec-7
Get a show by id,2020-05-28 23:58:13.112,http-nio-8080-exec-7
Get a room by id,2020-05-28 23:58:13.118,http-nio-8080-exec-7
Get a show by id,2020-05-28 23:58:13.122,http-nio-8080-exec-7
Get a show by id,2020-05-28 23:58:13.126,http-nio-8080-exec-7
Get a room by id,2020-05-28 23:58:13.129,http-nio-8080-exec-7
Get a show by id,2020-05-28 23:58:13.132,http-nio-8080-exec-7
Get a show by id,2020-05-28 23:58:13.135,http-nio-8080-exec-7
Get a room by id,2020-05-28 23:58:13.138,http-nio-8080-exec-7
Get a show by id,2020-05-28 23:58:13.141,http-nio-8080-exec-7
Get a show by id,2020-05-28 23:58:13.144,http-nio-8080-exec-7
Get a room by id,2020-05-28 23:58:13.146,http-nio-8080-exec-7
Get a show by id,2020-05-28 23:58:13.149,http-nio-8080-exec-7
Get a show by id,2020-05-28 23:58:13.152,http-nio-8080-exec-7
Get a room by id,2020-05-28 23:58:13.155,http-nio-8080-exec-7
Get a show by id,2020-05-28 23:58:13.164,http-nio-8080-exec-7
Login a client,2020-05-28 23:58:18.672,http-nio-8080-exec-10
Get a client by email,2020-05-28 23:58:18.673,http-nio-8080-exec-10
Login a client,2020-05-28 23:58:22.057,http-nio-8080-exec-4
Get a client by email,2020-05-28 23:58:22.058,http-nio-8080-exec-4
Get a client by email,2020-05-28 23:58:22.109,http-nio-8080-exec-2
Get tickets by email,2020-05-28 23:58:26.359,http-nio-8080-exec-6
Get an event by id,2020-05-28 23:58:26.378,http-nio-8080-exec-6
Get a client by email,2020-05-28 23:58:26.382,http-nio-8080-exec-6
Get a show by id,2020-05-28 23:58:26.384,http-nio-8080-exec-6
Get a room by id,2020-05-28 23:58:26.387,http-nio-8080-exec-6
Get a show by id,2020-05-28 23:58:26.39,http-nio-8080-exec-6
Get an event by id,2020-05-28 23:58:26.393,http-nio-8080-exec-6
Get a client by email,2020-05-28 23:58:26.396,http-nio-8080-exec-6
Get a show by id,2020-05-28 23:58:26.4,http-nio-8080-exec-6
Get a room by id,2020-05-28 23:58:26.403,http-nio-8080-exec-6
Get a show by id,2020-05-28 23:58:26.405,http-nio-8080-exec-6
Get an event by id,2020-05-28 23:58:26.407,http-nio-8080-exec-6
Get a client by email,2020-05-28 23:58:26.41,http-nio-8080-exec-6
Get a show by id,2020-05-28 23:58:26.414,http-nio-8080-exec-6
Get a room by id,2020-05-28 23:58:26.417,http-nio-8080-exec-6
Get a show by id,2020-05-28 23:58:26.42,http-nio-8080-exec-6
Remove a ticket by id,2020-05-28 23:58:32.004,http-nio-8080-exec-7
Get tickets by email,2020-05-28 23:58:32.13,http-nio-8080-exec-10
Get an event by id,2020-05-28 23:58:32.133,http-nio-8080-exec-10
Get a client by email,2020-05-28 23:58:32.135,http-nio-8080-exec-10
